date,SeaSon,item,msrp,netsale,cogs,discount
2026-01-01,F25,TRACK JACKET,185,89,40,52%
2026-01-01,S25,TRACK JACKET,135,36,23,73%
2026-01-01,S25,TRACK PANT,135,30,30,78%
2026-01-01,F25,LONG SLEEVE KNIT,135,54,27,60%
2026-01-01,F25,TRACK JACKET,135,65,26,52%
2026-01-01,F25,TRACK PANT,135,54,30,60%
2026-01-01,S25,TRACK JACKET,165,42,40,75%
2026-01-01,F25,T-SHIRT,78,37,19,53%
2026-01-01,S25,TRACK PANT,125,34,21,73%
2026-01-01,S25,T-SHIRT,48,16,8,67%
2026-01-01,S25,TRACK PANT,140,74,30,47%
2026-01-01,S25,TRACK JACKET,150,45,26,70%
2026-01-01,F25,SWEATER,110,53,20,52%
2026-01-01,F25,TRACK JACKET,150,90,34,40%
2026-01-01,F24,POLO,150,27,80,82%
2026-01-01,S25,T-SHIRT,48,13,7,73%
2026-01-01,F25,TRACK PANT,135,81,31,40%
2026-01-01,S25,T-SHIRT,42,11,7,74%
2026-01-01,F25,KNITWEAR,135,81,35,40%
2026-01-01,S25,TRACK PANT,140,74,30,47%
2026-01-01,F25,TRACK JACKET,150,90,34,40%
2026-01-01,F25,TRACK JACKET,165,132,31,20%
2026-01-01,F25,TRACK PANT,145,87,31,40%
2026-01-01,F25,TRACK JACKET,145,58,31,60%
2026-01-01,CORE,TRACK PANT,125,60,28,52%
2026-01-01,S25,SHORTS,88,24,20,73%
2026-01-01,F25,TRACK JACKET,150,72,35,52%
2026-01-01,S25,TRACK JACKET,140,38,29,73%
2026-01-01,S25,SHORTS,110,28,20,75%
2026-01-01,F25,TRACK PANT,280,134,46,52%
2026-01-01,F25,T-SHIRT,42,25,7,40%
2026-01-01,S25,TRACK JACKET,165,73,29,56%
2026-01-01,F25,SWEATER,125,75,28,40%
2026-01-01,S25,T-SHIRT,42,11,7,74%
2026-01-01,S25,TRACK JACKET,140,42,26,70%
2026-01-01,S25,TRACK PANT,140,44,30,69%
2026-01-01,F25,TRACK PANT,110,44,25,60%
2026-01-01,S25,TRACK JACKET,110,23,17,79%
2026-01-01,S25,SHORTS,68,18,12,74%
2026-01-01,F25,SWEATER,98,59,22,40%
2026-01-01,F25,SWEATPANTS,125,60,25,52%
2026-01-01,S25,T-SHIRT,42,11,7,74%
2026-01-01,S25,TRACK PANT,110,33,19,70%
2026-01-01,S25,SHORTS,88,21,20,76%
2026-01-01,S25,TRACK JACKET,175,79,42,55%
2026-01-01,F25,TRACK PANT,125,50,28,60%
2026-01-01,S25,LONG SLEEVE KNIT,78,23,10,71%
2026-01-01,S25,T-SHIRT,48,16,8,67%
2026-01-01,F25,TRACK JACKET,185,89,40,52%
2026-01-01,S25,CABANA SHIRT,135,30,30,78%
2026-01-01,F25,TRACK JACKET,175,105,37,40%
2026-01-01,S25,TRACK JACKET,140,25,26,82%
2026-01-01,S25,TRACK PANT,140,44,30,69%
2026-01-01,F25,TRACK PANT,125,50,28,60%
2026-01-01,F25,TRACK JACKET,150,72,25,52%
2026-01-01,CORE,TRACK PANT,110,88,17,20%
2026-01-01,S25,TRACK JACKET,110,28,17,75%
2026-01-01,S25,SHORTS,98,27,20,72%
2026-01-01,CORE,TRACK JACKET,140,67,22,52%
2026-01-01,F25,TRACK JACKET,165,66,36,60%
2026-01-01,F25,TRACK JACKET,125,60,29,52%
2026-01-01,F25,TRACK PANT,135,81,31,40%
2026-01-01,F25,TRACK JACKET,165,66,37,60%
2026-01-01,S25,SHORTS,68,17,12,75%
2026-01-01,F24,SHORTS,68,12,21,82%
2026-01-01,F25,HOODIE,98,47,17,52%
2026-01-01,S25,ACCESSORIES,136,34,26,75%
2026-01-01,F25,TRACK JACKET,150,72,35,52%
2026-01-01,F24,TRACK PANT,175,42,35,76%
2026-01-01,S25,SHORTS,88,17,20,81%
2026-01-01,S25,SHORTS,88,18,23,80%
2026-01-01,S25,T-SHIRT,48,13,7,73%
2026-01-01,F24,TRACK JACKET,165,83,42,50%
2026-01-01,F25,SWEATPANTS,98,59,18,40%
2026-01-01,F25,TRACK PANT,135,65,23,52%
2026-01-01,F25,TRACK PANT,125,75,31,40%
2026-01-01,F25,CREWNECK,118,57,23,52%
2026-01-01,F24,T-SHIRT,68,10,15,85%
2026-01-01,F25,HOODIE,98,47,17,52%
2026-01-01,F25,TRACK PANT,125,75,24,40%
2026-01-01,S25,TRACK PANT,125,46,26,63%
2026-01-01,F24,TRACK PANT,125,31,25,75%
2026-01-01,S25,TRACK PANT,125,76,26,39%
2026-01-01,F25,TRACK JACKET,165,66,37,60%
2026-01-01,F25,TRACK JACKET,150,90,37,40%
2026-01-01,F24,T-SHIRT,68,10,15,85%
2026-01-01,S25,TRACK JACKET,165,50,29,70%
2026-01-01,S25,PULLOVER,125,38,25,70%
2026-01-01,S25,T-SHIRT,48,13,7,73%
2026-01-01,F24,TRACK PANT,135,41,31,70%
2026-01-01,S25,TRACK JACKET,175,39,36,78%
2026-01-01,F25,TRACK PANT,125,125,24,0%
2026-01-01,CORE,TRACK JACKET,165,90,42,45%
2026-01-01,S25,TRACK JACKET,165,37,40,78%
2026-01-01,S25,T-SHIRT,42,11,7,74%
2026-01-01,S24,SHORTS,54,12,15,78%
2026-01-01,F24,DRESS,175,27,54,85%
2026-01-01,S25,TRACK PANT,110,33,19,70%
2026-01-01,F25,SWEATER,98,59,22,40%
2026-01-01,F25,KNITWEAR,225,108,54,52%
2026-01-01,F25,TRACK PANT,125,60,28,52%
2026-01-01,S25,T-SHIRT,48,16,8,67%
2026-01-01,S25,SHORTS,88,24,18,73%
2026-01-01,F25,TRACK PANT,145,70,34,52%
2026-01-01,F23,SHORTS,68,16,13,76%
2026-01-01,S25,TRACK JACKET,150,41,30,73%
2026-01-01,S25,SHORTS,88,40,20,55%
2026-01-01,CORE,TRACK PANT,125,60,28,52%
2026-01-01,S25,T-SHIRT,42,11,7,74%
2026-01-01,F25,TRACK PANT,145,87,31,40%
2026-01-01,S22,ACCESSORIES,12,6,6,50%
2026-01-01,S25,TRACK PANT,110,40,19,64%
2026-01-01,S25,TRACK PANT,125,28,26,78%
2026-01-01,F25,TRACK JACKET,185,89,40,52%
2026-01-01,F25,TRACK JACKET,165,79,37,52%
2026-01-01,S25,SHORTS,78,23,11,71%
2026-01-01,F24,SHORTS,78,19,15,76%
2026-01-01,F24,TRACK PANT,125,23,25,82%
2026-01-01,S25,SHORTS,78,23,15,71%
2026-01-01,S25,LONG SLEEVE KNIT,125,38,26,70%
2026-01-01,S25,SHORTS,78,23,16,71%
2026-01-01,F25,CREWNECK,125,60,24,52%
2026-01-01,F25,TRACK JACKET,175,105,37,40%
2026-01-01,F24,T-SHIRT,68,10,15,85%
2026-01-01,F25,TRACK PANT,135,81,33,40%
2026-01-01,S25,POLO,88,22,13,75%
2026-01-01,S25,TRACK PANT,125,22,24,82%
2026-01-01,S25,T-SHIRT,42,13,7,69%
2026-01-01,S25,SHORTS,68,18,12,74%
2026-01-01,S25,TRACK JACKET,165,37,40,78%
2026-01-01,S25,TANK TOP,68,18,14,74%
2026-01-01,CORE,TRACK PANT,135,42,31,69%
2026-01-01,F25,TRACK PANT,118,47,25,60%
2026-01-01,CORE,TRACK JACKET,165,79,36,52%
2026-01-01,F24,T-SHIRT,115,26,69,77%
2026-01-01,F24,TRACK JACKET,165,50,42,70%
2026-01-01,S25,T-SHIRT,48,13,8,73%
2026-01-01,S25,TRACK JACKET,165,53,40,68%
2026-01-01,S25,T-SHIRT,42,16,7,62%
2026-01-01,F25,HOODIE,98,47,17,52%
2026-01-01,S22,ACCESSORIES,12,5,6,58%
2026-01-01,S25,CABANA SHIRT,135,37,32,73%
2026-01-01,S25,T-SHIRT,48,26,8,46%
2026-01-01,F25,SHORTS,78,39,19,50%
2026-01-01,F25,TRACK JACKET,165,79,36,52%
2026-01-01,S25,TRACK JACKET,165,83,40,50%
2026-01-01,S25,TRACK JACKET,125,56,25,55%
2026-01-01,S25,T-SHIRT,48,13,7,73%
2026-01-01,F25,TRACK JACKET,150,72,34,52%
2026-01-01,F25,TRACK JACKET,185,111,40,40%
2026-01-01,F25,TRACK PANT,135,65,30,52%
2026-01-01,F25,HAT,38,23,8,39%
2026-01-01,S25,CAMP SHIRT,88,22,15,75%
2026-01-01,S25,CABANA SHIRT,125,56,27,55%
2026-01-01,F25,TRACK JACKET,125,50,29,60%
2026-01-01,F24,POLO,135,24,46,82%
2026-01-01,F24,TRACK PANT,135,41,31,70%
2026-01-01,F25,HAT,42,25,10,40%
2026-01-01,F25,TRACK PANT,145,87,31,40%
2026-01-01,S25,SWEATSHIRT,110,30,18,73%
2026-01-01,S25,TRACK JACKET,175,53,36,70%
2026-01-01,F25,TRACK PANT,125,75,29,40%
2026-01-01,S25,T-SHIRT,42,13,7,69%
2026-01-01,S25,TRACK PANT,140,42,30,70%
2026-01-01,S25,TRACK JACKET,125,25,25,80%
2026-01-01,S25,TRACK JACKET,145,44,24,70%
2026-01-01,S25,CABANA SHIRT,88,20,19,77%
2026-01-01,S25,TRACK PANT,125,26,24,79%
2026-01-01,F24,SHORTS,78,14,20,82%
2026-01-01,CORE,TRACK JACKET,165,54,42,67%
2026-01-01,S25,TRACK JACKET,165,50,40,70%
2026-01-01,S25,T-SHIRT,42,13,7,69%
2026-01-01,F25,TRACK PANT,125,100,28,20%
2026-01-01,F25,TRACK JACKET,145,70,31,52%
2026-01-01,S25,T-SHIRT,88,26,14,70%
2026-01-01,F24,SHORTS,68,12,21,82%
2026-01-01,S25,SOCKS,18,6,4,67%
2026-01-01,F24,LONG SLEEVE KNIT,210,53,44,75%
2026-01-01,S25,SOCKS,18,7,4,61%
2026-01-01,CORE,TRACK PANT,110,53,17,52%
2026-01-01,F25,LONG SLEEVE KNIT,135,108,27,20%
2026-01-01,F25,POLO,125,60,27,52%
2026-01-01,F25,TRACK JACKET,185,74,40,60%
2026-01-01,S25,TRACK JACKET,165,50,32,70%
2026-01-01,S22,ACCESSORIES,18,6,5,67%
2026-01-01,S25,TRACK PANT,140,42,30,70%
2026-01-01,S25,TRACK JACKET,165,50,29,70%
2026-01-01,F25,TRACK JACKET,150,120,34,20%
2026-01-01,S25,SHORTS,88,18,23,80%
2026-01-01,S25,SHORTS,88,24,23,73%
2026-01-01,S25,T-SHIRT,58,16,11,72%
2026-01-01,S25,ACCESSORIES,68,34,13,50%
2026-01-01,F25,TRACK JACKET,175,105,37,40%
2026-01-01,S25,SHORTS,68,17,12,75%
2026-01-01,CORE,TRACK JACKET,140,67,22,52%
2026-01-01,CORE,TRACK JACKET,165,66,36,60%
2026-01-01,S25,TRACK PANT,78,23,16,71%
2026-01-01,F24,SWEATPANTS,125,30,25,76%
2026-01-01,S25,TRACK JACKET,165,50,40,70%
2026-01-01,S25,T-SHIRT,48,13,7,73%
2026-01-01,S25,TRACK JACKET,140,25,26,82%
2026-01-01,F24,SHORTS,78,12,17,85%
2026-01-01,CORE,TRACK JACKET,165,132,36,20%
2026-01-01,S25,SWEATER,225,56,47,75%
2026-01-01,S24,SPORT BRA,48,14,7,71%
2026-01-01,S25,POLO,125,41,24,67%
2026-01-01,S25,T-SHIRT,48,22,7,54%
2026-01-01,S25,SHORTS,78,23,15,71%
2026-01-01,F25,TRACK PANT,125,125,26,0%
2026-01-01,F25,TRACK PANT,150,90,32,40%
2026-01-01,F25,TRACK PANT,135,65,30,52%
2026-01-01,S25,T-SHIRT,42,11,7,74%
2026-01-01,S25,T-SHIRT,42,19,7,55%
2026-01-01,F24,T-SHIRT,58,14,15,76%
2026-01-01,S25,TRACK JACKET,165,45,29,73%
2026-01-01,F25,TRACK JACKET,150,72,35,52%
2026-01-01,F25,TRACK PANT,125,60,28,52%
2026-01-01,F25,SWEATPANTS,98,59,18,40%
2026-01-01,F25,TRACK JACKET,150,90,34,40%
2026-01-01,CORE,TRACK JACKET,165,79,36,52%
2026-01-01,F24,SHORTS,68,12,18,82%
2026-01-01,S25,TRACK PANT,125,34,21,73%
2026-01-01,S25,POLO,88,44,13,50%
2026-01-01,F25,TRACK JACKET,185,89,40,52%
2026-01-01,S25,TRACK JACKET,135,41,23,70%
2026-01-01,CORE,TRACK JACKET,140,67,22,52%
2026-01-01,CORE,TRACK JACKET,165,54,42,67%
2026-01-01,S25,PANTS,210,57,44,73%
2026-01-01,S25,POLO,125,31,23,75%
2026-01-01,S25,TRACK JACKET,145,30,24,79%
2026-01-01,S25,SHOES,88,26,18,70%
2026-01-01,F25,TRACK PANT,125,60,29,52%
2026-01-01,F25,LONG SLEEVE KNIT,135,65,27,52%
2026-01-01,S25,TRACK JACKET,135,24,21,82%
2026-01-01,F25,TRACK PANT,125,63,24,50%
2026-01-01,F25,TRACK JACKET,165,99,33,40%
2026-01-01,S25,T-SHIRT,58,16,11,72%
2026-01-01,F25,SWEATER,98,59,22,40%
2026-01-01,F25,POLO,78,47,18,40%
2026-01-01,S25,TRACK JACKET,125,28,25,78%
2026-01-01,F24,SHORTS,78,14,24,82%
2026-01-01,S25,T-SHIRT,48,14,7,71%
2026-01-01,F25,TRACK PANT,135,81,31,40%
2026-01-01,F24,SHORTS,78,12,17,85%
2026-01-01,S25,TRACK PANT,125,42,25,66%
2026-01-01,S25,TRACK JACKET,165,50,32,70%
2026-01-01,S25,T-SHIRT,48,26,8,46%
2026-01-01,S25,T-SHIRT,42,11,7,74%
2026-01-01,F25,SWEATER,125,75,28,40%
2026-01-01,S25,TRACK JACKET,140,25,26,82%
2026-01-01,S25,SHORTS,100,27,22,73%
2026-01-01,F24,T-SHIRT,58,14,15,76%
2026-01-01,S25,TRACK JACKET,125,25,25,80%
2026-01-01,CORE,TRACK JACKET,165,79,36,52%
2026-01-01,F25,TRACK JACKET,150,150,36,0%
2026-01-01,F25,TRACK PANT,125,60,28,52%
2026-01-01,F24,TRACK JACKET,165,50,42,70%
2026-01-01,F25,CREWNECK,125,60,24,52%
2026-01-01,S25,TRACK JACKET,135,30,23,78%
2026-01-01,S25,TRACK PANT,125,38,22,70%
2026-01-01,S25,TRACK PANT,125,42,25,66%
2026-01-01,S25,TRACK JACKET,150,45,35,70%
2026-01-01,S25,T-SHIRT,48,13,7,73%
2026-01-01,S25,TRACK PANT,125,38,21,70%
2026-01-01,S25,SWEATER,125,38,23,70%
2026-01-01,S25,SWEATPANTS,88,16,18,82%
2026-01-01,S25,TRACK PANT,140,32,30,77%
2026-01-01,S25,SHORTS,88,17,20,81%
2026-01-01,F25,TRACK PANT,145,87,31,40%
2026-01-01,F25,TRACK PANT,125,60,28,52%
2026-01-01,CORE,TRACK JACKET,165,90,42,45%
2026-01-01,F24,TRACK PANT,150,31,31,79%
2026-01-01,S25,POLO,125,31,23,75%
2026-01-01,F25,TRACK PANT,125,60,28,52%
2026-01-01,F25,TRACK PANT,150,150,32,0%
2026-01-01,S25,SHORTS,110,17,24,85%
2026-01-01,S25,T-SHIRT,42,11,7,74%
2026-01-01,S25,T-SHIRT,42,13,7,69%
2026-01-01,F25,HOODIE,98,59,17,40%
2026-01-01,S25,TRACK PANT,110,28,19,75%
2026-01-01,F25,TRACK JACKET,165,79,37,52%
2026-01-01,F25,TRACK JACKET,175,105,37,40%
2026-01-01,S25,T-SHIRT,48,11,7,77%
2026-01-01,F25,TRACK JACKET,150,72,34,52%
2026-01-01,S25,TRACK JACKET,140,42,29,70%
2026-01-01,S25,TRACK JACKET,135,34,23,75%
2026-01-01,S25,T-SHIRT,48,13,7,73%
2026-01-01,CORE,TRACK PANT,110,53,17,52%
2026-01-01,S25,T-SHIRT,42,11,7,74%
2026-01-01,CORE,TRACK JACKET,165,54,42,67%
2026-01-01,F24,SHORTS,78,14,25,82%
2026-01-01,S25,T-SHIRT,42,27,7,36%
2026-01-01,F25,ACCESSORIES,390,70,161,82%
2026-01-01,F24,CAMP SHIRT,150,31,30,79%
2026-01-01,S25,SHORTS,78,35,16,55%
2026-01-01,CORE,TRACK JACKET,140,56,22,60%
2026-01-01,F25,TRACK JACKET,145,87,31,40%
2026-01-01,F25,TRACK JACKET,165,79,36,52%
2026-01-01,S25,LONG SLEEVE KNIT,78,26,10,67%
2026-01-01,S25,T-SHIRT,48,13,7,73%
2026-01-01,F25,TRACK JACKET,185,89,40,52%
2026-01-01,F24,TRACK JACKET,165,41,42,75%
2026-01-01,F25,POLO,110,66,25,40%
2026-01-01,S25,SHORTS,88,24,18,73%
2026-01-01,F25,HOODIE,98,59,17,40%
2026-01-01,S25,TRACK JACKET,150,50,28,67%
2026-01-01,F25,TRACK JACKET,185,89,40,52%
2026-01-01,F24,TRACK JACKET,195,55,40,72%
2026-01-01,F24,SPORT BRA,68,21,19,69%
2026-01-01,F25,HOODIE,98,59,17,40%
2026-01-01,S25,SHORTS,68,34,12,50%
2026-01-01,S25,T-SHIRT,42,14,7,67%
2026-01-01,S25,TRACK PANT,125,49,21,61%
2026-01-01,F24,POLO,98,18,36,82%
2026-01-01,CORE,TRACK JACKET,140,67,22,52%
2026-01-01,F25,TRACK PANT,125,60,29,52%
2026-01-01,S25,SWEATER,150,29,37,81%
2026-01-01,CORE,TRACK JACKET,140,112,22,20%
2026-01-01,S25,SHORTS,110,14,24,87%
2026-01-01,F25,TRACK JACKET,175,105,37,40%
2026-01-01,F25,TRACK PANT,110,53,20,52%
2026-01-01,F25,TRACK PANT,125,100,28,20%
2026-01-01,F24,TRACK PANT,135,68,31,50%
2026-01-01,S25,SHORTS,100,27,22,73%
2026-01-01,S25,SHORTS,135,25,28,81%
2026-01-01,S25,T-SHIRT,42,16,7,62%
2026-01-01,CORE,TRACK JACKET,140,56,22,60%
2026-01-01,F25,TRACK PANT,135,65,30,52%
2026-01-01,S25,T-SHIRT,78,23,13,71%
2026-01-01,S25,SHORTS,78,20,16,74%
2026-01-01,F25,TRACK JACKET,150,72,34,52%
2026-01-01,S25,TRACK PANT,140,42,30,70%
2026-01-01,S25,LONG SLEEVE KNIT,78,21,10,73%
2026-01-01,F25,TRACK PANT,125,60,28,52%
2026-01-01,F25,POLO,78,78,21,0%
2026-01-01,S25,POLO,125,34,27,73%
2026-01-01,CORE,TRACK JACKET,140,67,22,52%
2026-01-01,F25,TRACK PANT,125,60,29,52%
2026-01-01,F24,TRACK JACKET,165,50,42,70%
2026-01-01,F25,TRACK PANT,150,72,32,52%
2026-01-01,CORE,TRACK JACKET,140,56,22,60%
2026-01-01,CORE,TRACK JACKET,140,67,22,52%
2026-01-01,S25,T-SHIRT,48,13,7,73%
2026-01-01,S25,TRACK JACKET,165,50,40,70%
2026-01-01,S25,TRACK JACKET,175,53,31,70%
2026-01-01,S25,T-SHIRT,42,16,7,62%
2026-01-01,F25,T-SHIRT,42,25,7,40%
2026-01-01,CORE,TRACK JACKET,165,79,36,52%
2026-01-01,S25,T-SHIRT,42,21,7,50%
2026-01-01,F25,CABANA SHIRT,135,135,32,0%
2026-01-01,F25,DRESS,125,100,27,20%
2026-01-01,F25,TRACK PANT,135,81,31,40%
2026-01-01,S25,TRACK JACKET,150,41,30,73%
2026-01-01,F25,LONG SLEEVE KNIT,135,65,27,52%
2026-01-01,F25,TRACK JACKET,135,54,26,60%
2026-01-01,S25,SKORT,68,12,11,82%
2026-01-01,S25,T-SHIRT,42,21,7,50%
2026-01-01,F25,TRACK PANT,135,65,30,52%
2026-01-01,F25,TRACK JACKET,175,175,37,0%
2026-01-01,S25,TRACK PANT,78,23,16,71%
2026-01-01,F25,TRACK PANT,118,57,25,52%
2026-01-01,F25,HOODIE,98,59,17,40%
2026-01-01,S25,SHORTS,88,24,20,73%
2026-01-01,CORE,TRACK PANT,110,44,17,60%
2026-01-01,F25,POLO,78,39,18,50%
2026-01-01,CORE,TRACK JACKET,140,56,22,60%
2026-01-01,S25,DRESS,110,34,23,69%
2026-01-01,F25,HOODIE,150,72,29,52%
2026-01-01,CORE,TRACK PANT,135,42,31,69%
2026-01-01,S25,TRACK JACKET,165,45,40,73%
2026-01-01,F25,SWEATPANTS,98,59,18,40%
2026-01-01,F25,TRACK JACKET,165,99,33,40%
2026-01-01,S25,POLO,110,55,22,50%
2026-01-01,S25,CABANA SHIRT,110,33,21,70%
2026-01-01,S25,TRACK PANT,110,66,19,40%
2026-01-01,S25,POLO,125,34,24,73%
2026-01-01,S25,SHORTS,135,25,28,81%
2026-01-01,S25,T-SHIRT,42,11,8,74%
2026-01-01,S25,TRACK JACKET,140,25,26,82%
2026-01-01,F25,POLO,78,39,18,50%
2026-01-01,S25,DRESS,125,28,25,78%
2026-01-01,F24,POLO,150,27,80,82%
2026-01-01,F25,HOODIE,98,47,17,52%
2026-01-01,S25,ACCESSORIES,272,82,53,70%
2026-01-01,S25,SHORTS,100,24,22,76%
2026-01-01,CORE,TRACK PANT,110,44,17,60%
2026-01-01,F24,TRACK JACKET,165,50,42,70%
2026-01-01,S25,TRACK JACKET,150,41,30,73%
2026-01-01,CORE,TRACK JACKET,140,67,22,52%
2026-01-01,F25,TRACK JACKET,125,60,29,52%
2026-01-01,F24,SHORTS,68,21,18,69%
2026-01-01,F25,TRACK PANT,135,65,23,52%
2026-01-01,F25,HOODIE,120,96,23,20%
2026-01-01,S25,TANK TOP,58,17,8,71%
2026-01-01,F25,SWEATPANTS,88,53,17,40%
2026-01-01,S25,PANTS,210,57,44,73%
2026-01-01,F25,TRACK JACKET,125,60,29,52%
2026-01-01,F24,TRACK JACKET,165,50,42,70%
2026-01-01,F25,SHORTS,78,47,17,40%
2026-01-01,S25,T-SHIRT,48,13,7,73%
2026-01-01,F25,TRACK JACKET,165,99,34,40%
2026-01-01,S25,POLO,88,26,13,70%
2026-01-01,S25,T-SHIRT,48,13,7,73%
2026-01-01,F25,TRACK PANT,125,75,28,40%
2026-01-01,F25,TRACK PANT,118,57,25,52%
2026-01-01,S25,PULLOVER,125,38,25,70%
2026-01-01,S25,T-SHIRT,42,16,7,62%
2026-01-01,S25,T-SHIRT,48,19,10,60%
2026-01-01,S25,T-SHIRT,48,15,7,69%
2026-01-01,S25,TRACK JACKET,140,38,29,73%
2026-01-01,F24,LEGGINGS,110,21,21,81%
2026-01-01,S25,POLO,88,44,13,50%
2026-01-01,S25,SHORTS,98,45,20,54%
2026-01-01,S25,JACKET,165,50,32,70%
2026-01-01,S25,T-SHIRT,42,11,7,74%
2026-01-01,S25,SHORTS,110,28,20,75%
2026-01-01,F25,CABANA SHIRT,135,81,32,40%
2026-01-01,S25,TRACK JACKET,140,38,29,73%
2026-01-01,S25,SHORTS,68,15,12,78%
2026-01-01,F24,T-SHIRT,58,10,23,83%
2026-01-01,S25,TRACK PANT,125,42,25,66%
2026-01-01,F25,TRACK PANT,110,53,25,52%
2026-01-01,F25,TRACK JACKET,165,79,37,52%
2026-01-01,F25,TRACK PANT,150,75,32,50%
2026-01-01,S25,TRACK PANT,78,23,16,71%
2026-01-01,S25,TRACK JACKET,140,32,23,77%
2026-01-01,F25,T-SHIRT,68,54,16,21%
2026-01-01,S25,TRACK JACKET,150,41,30,73%
2026-01-01,F24,POLO,98,18,36,82%
2026-01-01,CORE,TRACK PANT,135,35,31,74%
2026-01-01,F25,HOODIE,150,72,29,52%
2026-01-01,S25,SHORTS,68,15,12,78%
2026-01-01,F25,TRACK JACKET,165,66,37,60%
2026-01-01,CORE,TRACK PANT,110,53,17,52%
2026-01-01,F25,TRACK PANT,125,50,28,60%
2026-01-01,S25,TRACK JACKET,175,39,36,78%
2026-01-01,S25,TRACK JACKET,140,25,26,82%
2026-01-01,CORE,TRACK PANT,110,44,17,60%
2026-01-01,F25,TRACK PANT,150,90,32,40%
2026-01-01,S25,TRACK PANT,125,41,25,67%
2026-01-01,S25,SWEATER,250,75,55,70%
2026-01-01,S25,TRACK PANT,135,36,30,73%
2026-01-01,S25,TRACK PANT,125,31,25,75%
2026-01-01,F25,TRACK JACKET,175,105,37,40%
2026-01-01,S25,SHORTS,110,33,20,70%
2026-01-01,F25,KNITWEAR,225,108,58,52%
2026-01-01,CORE,TRACK PANT,110,53,17,52%
2026-01-01,S25,T-SHIRT,48,13,7,73%
2026-01-01,CORE,TRACK PANT,125,50,28,60%
2026-01-01,S25,T-SHIRT,42,11,7,74%
2026-01-01,S25,TRACK PANT,125,38,25,70%
2026-01-01,F25,SHORTS,68,34,14,50%
2026-01-01,S25,TRACK PANT,125,42,25,66%
2026-01-01,S24,FOOTWEAR,145,61,46,58%
2026-01-01,F24,POLO,75,15,28,80%
2026-01-01,S25,PANTS,210,57,44,73%
2026-01-01,S25,SWEATSHIRT,110,30,18,73%
2026-01-01,S25,ACCESSORIES,88,22,17,75%
2026-01-01,F24,SHORTS,78,16,29,79%
2026-01-01,F25,TRACK JACKET,165,132,36,20%
2026-01-01,S25,T-SHIRT,88,24,14,73%
2026-01-01,CORE,TRACK JACKET,165,79,36,52%
2026-01-01,S25,TRACK JACKET,165,50,32,70%
2026-01-01,F25,TRACK JACKET,165,79,37,52%
2026-01-01,CORE,TRACK PANT,135,42,31,69%
2026-01-01,S25,TRACK JACKET,125,34,25,73%
2026-01-01,F25,TRACK JACKET,165,79,36,52%
2026-01-01,F25,TRACK JACKET,150,90,35,40%
