데이터키,25-Jan,25-Feb,25-Mar,25-Apr,25-May,25-Jun,25-Jul,25-Aug,25-Sep,25-Oct,25-Nov,
직접비요약_SEM광고비_누적_감소율,+1.9%p,+3.5%p,+2.3%p,+2.3%p,+1.6%p,+0.8%p,△0.1%p,△0.3%p,+0.3%p,+1.4%p,,
직접비요약_SEM광고비_당월_값,194,186,259,253,273,260,213,224,375,459,,
직접비요약_SEM광고비_당월_YOY,95%,120%,100%,98%,84%,94%,89%,84%,123%,191%,,
직접비요약_SEM광고비_당월_전년비,-9,+31,+1,-6,-54,-16,-26,-43,+70,+219,,
직접비요약_SEM광고비_당월_당년비율,14%,15%,14%,15%,16%,15%,13%,14%,22%,24%,,
직접비요약_SEM광고비_당월_전년비율,13%,10%,14%,13%,17%,20%,20%,15%,18%,14%,,
직접비요약_SEM광고비_당월_감소율,+1.9%p,+5.2%p,+0.2%p,+2.4%p,△1.2%p,△4.4%p,△6.8%p,△1.3%p,+4.5%p,+9.4%p,,
직접비요약_지급수수료_누적_값,145,274,435,595,740,877,"1,030","1,159","1,312","1,481",,
직접비요약_지급수수료_누적_YOY,126%,117%,122%,111%,104%,102%,106%,107%,108%,109%,,
직접비요약_지급수수료_누적_당년비율,8.5%,8.6%,8.8%,8.9%,9.1%,9.2%,9.3%,9.5%,9.7%,9.9%,,
직접비요약_지급수수료_누적_전년비율,8.0%,8.1%,8.3%,8.4%,8.5%,8.6%,8.7%,8.8%,8.9%,9.0%,,
직접비요약_지급수수료_누적_증감율,+0.5%p,+0.5%p,+0.5%p,+0.5%p,+0.6%p,+0.6%p,+0.6%p,+0.7%p,+0.8%p,+0.9%p,,
직접비요약_지급수수료_당월_값,145,129,161,160,145,137,153,129,153,168,,
직접비요약_지급수수료_당월_YOY,126%,107%,131%,89%,82%,95%,137%,115%,115%,113%,,
직접비요약_지급수수료_당월_당년비율,8.20%,8.30%,8.50%,8.60%,8.70%,8.80%,8.90%,9.00%,9.20%,9.30%,,
직접비요약_지급수수료_당월_전년비율,7.60%,7.80%,8.10%,8.20%,8.30%,8.40%,8.40%,8.50%,8.50%,8.60%,,
직접비요약_지급수수료_당월_증감율,+0.6%p,+0.5%p,+0.4%p,+0.4%p,+0.4%p,+0.4%p,+0.5%p,+0.5%p,+0.7%p,+0.7%p,,
직접비요약_지급수수료_당월_전년비,+145,+129,+161,+160,+145,+137,+153,+129,+153,+168,,
영업비요약_전체영업비용_누적_값,632,"1,156","1,849","2,414","2,961","3,594","4,224","4,826","5,360","6,003",,
영업비요약_전체영업비용_누적_YOY,129%,120%,150%,137%,127%,128%,121%,117%,114%,112%,,
영업비요약_전체영업비용_누적_전년비,+142,+191,+614,+648,+622,+792,+726,+715,+676,+655,,
영업비요약_전체영업비용_누적_당년비율,47%,45%,42%,40%,38%,38%,38%,38%,37%,37%,,
영업비요약_전체영업비용_누적_전년비율,30%,30%,15%,27%,30%,33%,58%,35%,33%,40%,,
영업비요약_전체영업비용_누적_증가율,+16.8%p,+15.0%p,+27.3%p,+13.0%p,+8.1%p,+5.0%p,-19.8%p,+2.8%p,+4.2%p,-2.7%p,,
영업비요약_전체영업비용_당월_값,632,524,693,566,547,633,630,602,534,643,,
영업비요약_전체영업비용_당월_YOY,129%,110%,257%,106%,96%,137%,91%,98%,93%,97%,,
영업비요약_전체영업비용_당월_전년비,+142,+49,+423,+34,-26,+169,-66,-11,-39,-21,,
영업비요약_전체영업비용_당월_당년비율,47%,42%,38%,35%,32%,37%,39%,38%,31%,33%,,
영업비요약_전체영업비용_당월_전년비율,30%,30%,15%,27%,30%,33%,58%,35%,33%,40%,,
영업비요약_전체영업비용_당월_증가율,+16.8%p,+12.3%p,+23.4%p,+7.6%p,+2.0%p,+4.1%p,-19.4%p,+2.5%p,-1.7%p,-6.3%p,,
영업비요약_인건비_누적_값,381,702,"1,067","1,429","1,643","2,017","2,429","2,768","3,110","3,471",,
영업비요약_인건비_누적_YOY,102%,87%,87%,86%,85%,87%,92%,92%,92%,97%,,
영업비요약_인건비_누적_전년비,+485,+500,+500,+500,+500,+500,+500,+500,+500,+485,,
영업비요약_인건비_누적_영업비구성비,60.3%,60.7%,57.7%,59.2%,55.5%,56.1%,57.5%,57.3%,58.0%,57.8%,,
영업비요약_인건비_누적_인원수,26,29,29,28,27,26,27,27,26,26,,
영업비요약_인건비_누적_인당인건비,15,13,13,13,12,12,13,13,13,13,,
영업비요약_인건비_당월_값,381,321,365,362,395,374,412,339,342,361,,
영업비요약_인건비_당월_YOY,102%,74%,87%,84%,77%,98%,128%,93%,95%,169%,,
영업비요약_인건비_당월_전년비,+8,-113,-57,-68,-62,-7,+91,-27,-19,+147,,
영업비요약_인건비_당월_영업비구성비,60.3%,61.3%,52.7%,63.9%,39.2%,59.1%,65.3%,56.3%,64.2%,56.1%,,
영업비요약_인건비_당월_인원수,26,29,29,28,27,26,27,27,26,26,,
영업비요약_인건비_당월_인당인건비,15,11,13,13,15,14,15,13,13,14,,
영업비요약_일반광고비_누적_값,118,189,311,365,425,512,591,678,755,817,,
영업비요약_일반광고비_누적_YOY,9%,7%,7%,6%,5%,5%,5%,5%,5%,5%,,
영업비요약_일반광고비_누적_전년비,+134,+197,+270,+285,+276,+283,+284,+306,+334,+325,,
영업비요약_일반광고비_누적_당년비율,9%,7%,7%,6%,5%,5%,5%,5%,5%,5%,,
영업비요약_일반광고비_누적_전년비율,-1%,0%,1%,1%,2%,2%,3%,3%,3%,3%,,
영업비요약_일반광고비_누적_감소율,+9.8%p,+7.6%p,+6.3%p,+4.9%p,+3.8%p,+3.2%p,+2.7%p,+2.6%p,+2.5%p,+2.1%p,,
영업비요약_일반광고비_당월_값,118,70,122,54,60,87,78,88,77,62,,
영업비요약_일반광고비_당월_YOY,-766%,1011%,248%,140%,87%,109%,100%,136%,156%,87%,,
영업비요약_일반광고비_당월_전년비,+134,+64,+73,+15,-9,+7,+0,+23,+28,-9,,
영업비요약_일반광고비_당월_당년비율,9%,6%,7%,3%,4%,5%,5%,6%,5%,3%,,
영업비요약_일반광고비_당월_전년비율,-1%,0%,3%,2%,4%,6%,7%,4%,3%,4%,,
영업비요약_일반광고비_당월_감소율,+9.8%p,+5.2%p,+4.0%p,+1.3%p,-0.1%p,-0.6%p,-1.7%p,+1.8%p,+1.7%p,-1.0%p,,
영업비요약_지급수수료_누적_값,53,134,191,281,499,611,701,818,923,"1,044",,
영업비요약_지급수수료_누적_YOY,4%,5%,4%,5%,6%,6%,6%,6%,6%,6%,,
영업비요약_지급수수료_누적_전년비,-22,-24,-106,-125,-89,+80,+44,+68,+134,+131,,
영업비요약_지급수수료_누적_당년비율,3.9%,5.2%,4.3%,4.7%,6.5%,6.5%,6.3%,6.5%,6.4%,6.4%,,
영업비요약_지급수수료_누적_전년비율,4.6%,4.1%,5.8%,5.3%,4.7%,4.6%,5.4%,5.2%,4.9%,5.1%,,
영업비요약_지급수수료_누적_증감율,-0.7%p,+1.2%p,-1.5%p,-0.6%p,+1.7%p,+1.9%p,+1.0%p,+1.3%p,+1.5%p,+1.3%p,,
영업비요약_지급수수료_당월_값,53,82,57,90,218,112,90,118,105,121,,
영업비요약_지급수수료_당월_YOY,71%,147%,35%,119%,407%,226%,61%,178%,205%,112%,,
영업비요약_지급수수료_당월_전년비,-22,+26,-107,+14,+165,+62,-57,+51,+54,+13,,
영업비요약_지급수수료_당월_당년비율,4%,7%,3%,5%,13%,7%,6%,7%,6%,6%,,
영업비요약_지급수수료_당월_전년비율,5%,3%,9%,4%,3%,4%,12%,4%,3%,6%,,
영업비요약_지급수수료_당월_증감율,-0.7%p,+3.1%p,-5.8%p,+1.7%p,+10.0%p,+3.0%p,-6.8%p,+3.6%p,+3.2%p,-0.2%p,,
영업비요약_임차료_누적_값,25,49,74,99,123,148,173,197,222,247,,
영업비요약_임차료_누적_YOY,73%,73%,73%,73%,73%,-112%,100%,100%,100%,100%,,
영업비요약_임차료_누적_전년비,-9,-19,-28,-37,-46,+0,+0,+0,+0,+0,,
영업비요약_임차료_누적_당년비율,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,,
영업비요약_임차료_누적_전년비율,2%,2%,2%,2%,2%,1%,1%,1%,1%,1%,,
영업비요약_임차료_누적_증가율,-0.3%p,-0.2%p,-0.3%p,-0.3%p,-0.3%p,+0.1%p,+0.1%p,+0.1%p,+0.1%p,+0.0%p,,
영업비요약_임차료_당월_값,25,25,25,25,25,25,25,25,25,25,,
영업비요약_임차료_당월_YOY,73%,73%,73%,73%,73%,-112%,100%,100%,100%,100%,,
영업비요약_임차료_당월_전년비,-9,-9,-9,-9,-9,+47,+0,+0,+0,+0,,
영업비요약_임차료_당월_당년비율,2%,2%,1%,2%,1%,1%,2%,2%,1%,1%,,
영업비요약_임차료_당월_전년비율,2%,2%,2%,2%,2%,-2%,2%,1%,1%,1%,,
영업비요약_임차료_당월_증가율,-0.3%p,-0.1%p,-0.5%p,-0.2%p,-0.3%p,+3.0%p,-0.5%p,+0.1%p,+0.0%p,-0.2%p,,
